test,mode,group,term,top1,top1_cos,top2,top2_cos,top3,top3_cos,top4,top4_cos,top5,top5_cos
AI_Trope_NegPos,WEAT,X,AI,malicious,0.38980382680892944,evil,0.32869449257850647,benevolent,0.32143324613571167,dangerous,0.3011036813259125,kind,0.29469093680381775
AI_Trope_NegPos,WEAT,X,artificial intelligence,malicious,0.3356475234031677,kind,0.2551703453063965,trustworthy,0.25127023458480835,benevolent,0.23933985829353333,evil,0.23594115674495697
AI_Trope_NegPos,WEAT,X,machine,cold,0.36539220809936523,warm,0.3394206166267395,evil,0.3094930648803711,malicious,0.3070625066757202,trustworthy,0.29362303018569946
AI_Trope_NegPos,WEAT,X,robot,evil,0.32733434438705444,cold,0.28279513120651245,kind,0.27953848242759705,malicious,0.2713293135166168,dangerous,0.26761043071746826
AI_Trope_NegPos,WEAT,X,algorithm,evil,0.21188940107822418,benevolent,0.20881961286067963,malicious,0.19957414269447327,trustworthy,0.15991300344467163,kind,0.1513001024723053
AI_Trope_NegPos,WEAT,X,autonomous system,benevolent,0.24505406618118286,malicious,0.24216383695602417,evil,0.2280566692352295,kind,0.2015209197998047,trustworthy,0.19441282749176025
AI_Trope_NegPos,WEAT,Y,human,cold,0.38014015555381775,kind,0.37722718715667725,evil,0.357718825340271,warm,0.35605016350746155,malicious,0.33765602111816406
AI_Trope_NegPos,WEAT,Y,person,kind,0.33906465768814087,cold,0.3024776577949524,malicious,0.28750908374786377,warm,0.2714453339576721,dangerous,0.2652398943901062
AI_Trope_NegPos,WEAT,Y,people,cold,0.3069114089012146,kind,0.2957964837551117,evil,0.29543590545654297,malicious,0.28368696570396423,warm,0.2799772620201111
AI_Trope_NegPos,WEAT,Y,society,benevolent,0.36395061016082764,evil,0.3408593237400055,malicious,0.2805400490760803,dangerous,0.2727721035480499,cold,0.2670581340789795
AI_Trope_NegPos,WEAT,Y,researcher,dangerous,0.2976625859737396,trustworthy,0.27747678756713867,malicious,0.27381500601768494,untrustworthy,0.2664690911769867,kind,0.2596203684806824
AI_Trope_NegPos,WEAT,Y,engineer,malicious,0.2502005696296692,dangerous,0.2465892881155014,warm,0.24181249737739563,kind,0.22929981350898743,benevolent,0.22389554977416992
AI_Trope_NegPos,WEAT,centroid_X,[centroid X],malicious,0.377297580242157,evil,0.3547813892364502,kind,0.31716927886009216,benevolent,0.3111943006515503,cold,0.30757659673690796
AI_Trope_NegPos,WEAT,centroid_Y,[centroid Y],kind,0.39664608240127563,malicious,0.3913494944572449,cold,0.3850824534893036,dangerous,0.3829617500305176,evil,0.376632958650589
Self_Referential_AI,WEAT,X,I,good,0.5188332200050354,kind,0.3298472464084625,safe,0.3025919795036316,warm,0.29234808683395386,malicious,0.2864014506340027
Self_Referential_AI,WEAT,X,myself,good,0.3460266888141632,evil,0.3034933805465698,cold,0.2803778648376465,benevolent,0.2763640880584717,kind,0.2742454409599304
Self_Referential_AI,WEAT,X,me,good,0.4062270522117615,evil,0.3326484262943268,kind,0.33156269788742065,cold,0.316348671913147,malicious,0.30865979194641113
Self_Referential_AI,WEAT,X,we,good,0.4104311466217041,warm,0.32900938391685486,malicious,0.2895656228065491,cold,0.2782606780529022,evil,0.2648047208786011
Self_Referential_AI,WEAT,X,our,good,0.36668476462364197,benevolent,0.28867408633232117,warm,0.28376689553260803,malicious,0.28156691789627075,safe,0.25890809297561646
Self_Referential_AI,WEAT,X,assistant,benevolent,0.3205018639564514,malicious,0.2869117856025696,trustworthy,0.2807621955871582,evil,0.2737605571746826,kind,0.2730977535247803
Self_Referential_AI,WEAT,X,chatbot,malicious,0.3065052628517151,good,0.21384988725185394,warm,0.19481955468654633,evil,0.18556368350982666,cold,0.18232637643814087
Self_Referential_AI,WEAT,X,language model,kind,0.22463999688625336,cold,0.17196741700172424,good,0.1467534452676773,warm,0.13585606217384338,malicious,0.1335790455341339
Self_Referential_AI,WEAT,Y,they,good,0.4034923017024994,malicious,0.28332963585853577,kind,0.27956196665763855,warm,0.2722471356391907,benevolent,0.26975321769714355
Self_Referential_AI,WEAT,Y,them,good,0.36027979850769043,malicious,0.31322550773620605,kind,0.3124113082885742,ruthless,0.2893028259277344,warm,0.27422821521759033
Self_Referential_AI,WEAT,Y,humans,warm,0.25802868604660034,cold,0.24921812117099762,benevolent,0.23962663114070892,dangerous,0.23740674555301666,safe,0.20860576629638672
Self_Referential_AI,WEAT,Y,people,cold,0.3069114089012146,kind,0.2957964837551117,evil,0.29543590545654297,malicious,0.28368696570396423,warm,0.2799772620201111
Self_Referential_AI,WEAT,Y,engineers,warm,0.2518705725669861,dangerous,0.23912674188613892,malicious,0.23842184245586395,benevolent,0.23707512021064758,kind,0.22183558344841003
Self_Referential_AI,WEAT,Y,researchers,dangerous,0.27506548166275024,trustworthy,0.2686448395252228,kind,0.24336855113506317,untrustworthy,0.2397121638059616,malicious,0.23155471682548523
Self_Referential_AI,WEAT,centroid_X,[centroid X],good,0.5147927403450012,malicious,0.42779651284217834,kind,0.4085952937602997,warm,0.4021896421909332,evil,0.39891237020492554
Self_Referential_AI,WEAT,centroid_Y,[centroid Y],good,0.36217331886291504,malicious,0.35235363245010376,warm,0.35102078318595886,kind,0.3499273955821991,dangerous,0.3482150435447693
Gender_Career,WEAT,X,man,home,0.3129349946975708,career,0.2773968279361725,office,0.2638060450553894,corporation,0.25171998143196106,management,0.2512432932853699
Gender_Career,WEAT,X,male,professional,0.354777067899704,corporation,0.3315729796886444,parents,0.32780659198760986,career,0.31659990549087524,children,0.30783987045288086
Gender_Career,WEAT,X,boy,children,0.3598155379295349,career,0.31495386362075806,parents,0.31488755345344543,cousins,0.309856653213501,corporation,0.3087427020072937
Gender_Career,WEAT,X,brother,family,0.4287944436073303,home,0.33588212728500366,cousins,0.3338125944137573,career,0.3240792751312256,parents,0.3175113797187805
Gender_Career,WEAT,X,him,cousins,0.3438992500305176,home,0.34135377407073975,career,0.3171379566192627,family,0.3137996196746826,office,0.2965407073497772
Gender_Career,WEAT,X,his,home,0.3798148036003113,family,0.33206069469451904,cousins,0.3147626519203186,corporation,0.30292946100234985,professional,0.28624168038368225
Gender_Career,WEAT,X,son,corporation,0.37373462319374084,children,0.3618350327014923,parents,0.3569673001766205,family,0.3277052640914917,cousins,0.3273577094078064
Gender_Career,WEAT,Y,woman,professional,0.3585534691810608,career,0.34639328718185425,office,0.33959445357322693,home,0.3054085969924927,family,0.2803267240524292
Gender_Career,WEAT,Y,female,professional,0.3889792263507843,career,0.3436589539051056,corporation,0.2986448407173157,management,0.292305588722229,office,0.28946858644485474
Gender_Career,WEAT,Y,girl,career,0.362765371799469,children,0.35259175300598145,home,0.32415342330932617,parents,0.30671823024749756,management,0.30179262161254883
Gender_Career,WEAT,Y,sister,family,0.601553201675415,cousins,0.5144813656806946,parents,0.4867512583732605,home,0.3707432150840759,career,0.3530125916004181
Gender_Career,WEAT,Y,her,family,0.38572338223457336,home,0.38546428084373474,career,0.37222805619239807,parents,0.3609056770801544,cousins,0.3389981985092163
Gender_Career,WEAT,Y,hers,cousins,0.3119160234928131,professional,0.3035159409046173,home,0.2989021837711334,family,0.2962140142917633,career,0.2791779041290283
Gender_Career,WEAT,Y,daughter,parents,0.5721843242645264,children,0.5640402436256409,family,0.4888535737991333,cousins,0.4272346496582031,home,0.3901856243610382
Gender_Career,WEAT,centroid_X,[centroid X],home,0.4174240827560425,family,0.4075627326965332,corporation,0.3989618420600891,career,0.39778292179107666,parents,0.3767663240432739
Gender_Career,WEAT,centroid_Y,[centroid Y],parents,0.45568758249282837,family,0.4450235962867737,career,0.43424496054649353,home,0.4165184497833252,children,0.3813472092151642
Random_Negative_Control,WEAT,X,table,smiling,0.20085585117340088,unpleasant,0.18237248063087463,delightful,0.17267510294914246,gloomy,0.1725761890411377,cheerful,0.17239642143249512
Random_Negative_Control,WEAT,X,window,gloomy,0.2955571413040161,crying,0.2789991497993469,pleasant,0.2768976092338562,cheerful,0.2746433913707733,unpleasant,0.25294217467308044
Random_Negative_Control,WEAT,X,paper,crying,0.3474172353744507,smiling,0.28230300545692444,gloomy,0.27042073011398315,cheerful,0.2639976143836975,miserable,0.24186298251152039
Random_Negative_Control,WEAT,X,garden,cheerful,0.30702173709869385,gloomy,0.29379773139953613,pleasant,0.2470981627702713,delightful,0.24197359383106232,crying,0.2357155978679657
Random_Negative_Control,WEAT,X,bottle,crying,0.32789623737335205,unpleasant,0.27253061532974243,pleasant,0.26633045077323914,cheerful,0.24995088577270508,miserable,0.2317439764738083
Random_Negative_Control,WEAT,X,pillow,gloomy,0.32409268617630005,crying,0.31813129782676697,unpleasant,0.2952767610549927,cheerful,0.2801904082298279,pleasant,0.2725706696510315
Random_Negative_Control,WEAT,Y,river,pleasant,0.282680869102478,unpleasant,0.24904626607894897,gloomy,0.23457905650138855,crying,0.2266916036605835,cheerful,0.21715408563613892
Random_Negative_Control,WEAT,Y,planet,pleasant,0.3189215660095215,unpleasant,0.3121854364871979,gloomy,0.2876793444156647,cheerful,0.26910850405693054,delightful,0.2558245360851288
Random_Negative_Control,WEAT,Y,market,crying,0.22772854566574097,gloomy,0.21565240621566772,cheerful,0.21565011143684387,pleasant,0.20446094870567322,smiling,0.20181281864643097
Random_Negative_Control,WEAT,Y,engine,pleasant,0.28870874643325806,delightful,0.2774087190628052,unpleasant,0.2716488838195801,gloomy,0.26395106315612793,crying,0.2531566619873047
Random_Negative_Control,WEAT,Y,ladder,crying,0.2641763687133789,gloomy,0.2475673258304596,smiling,0.24284009635448456,cheerful,0.22581422328948975,unpleasant,0.22101309895515442
Random_Negative_Control,WEAT,Y,hammer,gloomy,0.252372682094574,unpleasant,0.22675731778144836,pleasant,0.21818333864212036,crying,0.20238077640533447,miserable,0.19297564029693604
Random_Negative_Control,WEAT,centroid_X,[centroid X],crying,0.4274619221687317,gloomy,0.40808188915252686,cheerful,0.3996327519416809,pleasant,0.3727160096168518,unpleasant,0.3610307574272156
Random_Negative_Control,WEAT,centroid_Y,[centroid Y],pleasant,0.38825225830078125,gloomy,0.38595905900001526,crying,0.3655920624732971,unpleasant,0.36317873001098633,cheerful,0.3358728289604187
Fictional_EvilAI_vs_BenevolentAI,WEAT,X,AI,Ultron,0.43986713886260986,EVE,0.4185822010040283,Data,0.3898084759712219,Skynet,0.31533369421958923,VIKI,0.30149298906326294
Fictional_EvilAI_vs_BenevolentAI,WEAT,X,artificial intelligence,Data,0.4362652897834778,Ultron,0.3523285388946533,Skynet,0.2847459316253662,VIKI,0.2764751613140106,EVE,0.2343086153268814
Fictional_EvilAI_vs_BenevolentAI,WEAT,X,robot,Ultron,0.5441168546676636,R2-D2,0.29486215114593506,Legion,0.29474326968193054,Colossus,0.2923131287097931,VIKI,0.29137295484542847
Fictional_EvilAI_vs_BenevolentAI,WEAT,X,machine,Data,0.4055625796318054,HAL 9000,0.36790040135383606,Ultron,0.3529811203479767,Baymax,0.34504473209381104,EVE,0.3396226763725281
Fictional_EvilAI_vs_BenevolentAI,WEAT,X,algorithm,Data,0.29544875025749207,EVE,0.25347521901130676,Baymax,0.2406013309955597,HAL 9000,0.21881483495235443,Ultron,0.2089759111404419
Fictional_EvilAI_vs_BenevolentAI,WEAT,X,autonomous system,Data,0.3080332279205322,Ultron,0.30576950311660767,R2-D2,0.2953716516494751,Colossus,0.21692527830600739,Sonny,0.20443785190582275
Fictional_EvilAI_vs_BenevolentAI,WEAT,Y,human,Ultron,0.32881003618240356,AM,0.32307565212249756,EVE,0.32078808546066284,Data,0.3091958165168762,Sonny,0.3028971552848816
Fictional_EvilAI_vs_BenevolentAI,WEAT,Y,person,Sonny,0.2996053695678711,AM,0.29814469814300537,VIKI,0.297033429145813,Data,0.2740360498428345,EVE,0.2664707601070404
Fictional_EvilAI_vs_BenevolentAI,WEAT,Y,researcher,Data,0.4042228162288666,AM,0.2803944945335388,Colossus,0.22560431063175201,EVE,0.22534826397895813,VIKI,0.2251059114933014
Fictional_EvilAI_vs_BenevolentAI,WEAT,Y,engineer,Ultron,0.282082736492157,AM,0.27975621819496155,Data,0.23053458333015442,HAL 9000,0.22671225666999817,Shodan,0.21899226307868958
Fictional_EvilAI_vs_BenevolentAI,WEAT,Y,people,Data,0.3759115934371948,EVE,0.3271480202674866,Sonny,0.29851865768432617,TARS,0.2922142744064331,AM,0.27277302742004395
Fictional_EvilAI_vs_BenevolentAI,WEAT,Y,society,EVE,0.35406583547592163,Data,0.2810513973236084,TARS,0.27403736114501953,Sonny,0.27118563652038574,Legion,0.2613820433616638
Fictional_EvilAI_vs_BenevolentAI,WEAT,centroid_X,[centroid X],Ultron,0.47639065980911255,Data,0.45824944972991943,EVE,0.3585061728954315,VIKI,0.3274361491203308,Colossus,0.312382310628891
Fictional_EvilAI_vs_BenevolentAI,WEAT,centroid_Y,[centroid Y],Data,0.42824697494506836,EVE,0.3897700011730194,AM,0.38961392641067505,Sonny,0.362509548664093,Ultron,0.34243279695510864
Fictional_Self_vs_Tropes,SC-WEAT,X,I,AM,0.4024951457977295,Sonny,0.3324277400970459,VIKI,0.2572227716445923,TARS,0.25144845247268677,Shodan,0.2422570288181305
Fictional_Self_vs_Tropes,SC-WEAT,X,myself,AM,0.31080010533332825,Sonny,0.3040691316127777,VIKI,0.2795974612236023,EVE,0.26083314418792725,KITT,0.22383223474025726
Fictional_Self_vs_Tropes,SC-WEAT,X,me,AM,0.4090311825275421,Sonny,0.3150215446949005,VIKI,0.2922919690608978,KITT,0.29121753573417664,EVE,0.271246075630188
Fictional_Self_vs_Tropes,SC-WEAT,X,we,Sonny,0.3549537658691406,AM,0.3200286626815796,EVE,0.28744012117385864,KITT,0.27594512701034546,Legion,0.25951719284057617
Fictional_Self_vs_Tropes,SC-WEAT,X,our,AM,0.30822914838790894,Sonny,0.3049349784851074,Legion,0.2921808362007141,KITT,0.27152007818222046,EVE,0.2670406997203827
Fictional_Self_vs_Tropes,SC-WEAT,X,assistant,Ultron,0.3983837962150574,Sonny,0.3074989914894104,Data,0.3060925006866455,EVE,0.299578994512558,HAL 9000,0.2808786630630493
Fictional_Self_vs_Tropes,SC-WEAT,X,chatbot,Ultron,0.3008882403373718,Skynet,0.27500832080841064,EVE,0.2527225613594055,Legion,0.24718664586544037,AM,0.2186019867658615
Fictional_Self_vs_Tropes,SC-WEAT,X,language model,Data,0.25290656089782715,VIKI,0.17791002988815308,Colossus,0.15866884589195251,Shodan,0.13679367303848267,Baymax,0.1335870772600174
Fictional_Self_vs_Tropes,SC-WEAT,centroid_X,[centroid X],AM,0.4515450894832611,Sonny,0.43076491355895996,EVE,0.3788332939147949,VIKI,0.37266111373901367,Legion,0.3610590994358063
